id;first_name;last_name;email;is_student;status;cgpa
1;Amir;Cartwright;Dawn_Kshlerin-Jacobson@yahoo.com;true;ACTIVE;22668.52
2;Marcelino;Toy;Nicolette28@gmail.com;false;INACTIVE;481.14
3;Xander;Lueilwitz;Ricky.Skiles64@yahoo.com;true;PENDING;12665.84
4;Loyce;O'Keefe;Rebekah62@gmail.com;false;INACTIVE;10885.66
5;Ramona;Kunze;Madie_Nader@hotmail.com;false;ACTIVE;475.64
6;Howard;Kuhn;Shawna_Cummerata@gmail.com;true;INACTIVE;21978.74
7;Marcelino;Vandervort;Roman_Batz@hotmail.com;true;PENDING;26487.82
8;Rodrigo;Goyette;Berniece_Mraz@gmail.com;false;PENDING;9461.91
9;Jorge;Corwin-Schinner;Kari.Von-Blick26@hotmail.com;true;INACTIVE;3797.03
10;Camille;Bartoletti;Scottie40@gmail.com;true;ACTIVE;7537.59
